GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv
OutfitNeckwearB,Outfit Neckwear B,Outfit Neckwear B,服装 颈部装饰 B,服裝 頸部裝飾 B,Outfit Halsschmuck B,Accesorios de cuello B,Cravate B,Outfit Neckwear B,ネックウェアB,목장식 B,Галстук B,Acessório de Pescoço B,Одяг для шиї B,Completo cravatta B,เครื่องประดับคอ B,Boyun Takıları B,Outfit Neckwear B
OutfitNeckwearBOutline,Outfit Neckwear B Outline,Outfit Neckwear B Outline,服装 颈部装饰 B 轮廓,服裝 頸部裝飾 B 輪廓,Outfit Halsschmuck B Umriss,Contorno del accesorio de cuello B,Contour Cravate B,Outfit Neckwear B körvonal,ネックウェアB 輪郭,목장식 B 외곽선,Галстук B Контур,Acessório de Pescoço B Contorno,Спорядження Neckwear B контур,Outfit Neckwear B Outline,เส้นร่างเครื่องประดับคอ B,Boyun Takıları B Anahat,Outfit Neckwear B Outline
OutfitNeckwearC,Outfit Neckwear C,Outfit Neckwear C,服装 颈部装饰 C,服裝 頸部裝飾 C,Outfit Halsschmuck C,Accesorios de cuello C,Cravate C,Outfit Neckwear C,ネックウェアC,목장식 C,Галстук С,Acessório de Pescoço C,Одяг нашийник C,Completo di cravatte C,เครื่องประดับคอ C,Boyun Takıları C,Outfit Neckwear C
OutfitNeckwearCOutline,Outfit Neckwear C Outline,Outfit Neckwear C Outline,服装 颈部装饰 C 轮廓,服裝 頸部裝飾 C 輪廓,Outfit Halsschmuck C Umriss,Contorno del accesorio de cuello C,Contour Cravate C,Outfit Neckwear C körvonal,ネックウェアC 輪郭,목장식 C 외곽선,Галстук С Контур,Acessório de Pescoço C Contorno,Спорядження Neckwear C контур,Outfit Neckwear C Outline,เส้นร่างเครื่องประดับคอ C,Boyun Takıları C Anahat,Outfit Neckwear C Outline
OutfitOuter,Outfit Outer,Outfit Outer,服装 外侧,服裝 外側,Outfit außen,Traje exterior,Tenue Extérieure,Outfit Outer,服 外側,겉옷,Верхняя одежда,Roupa Exterior,Одяг Зовнішній,Vestito esterno,ชุดด้านนอก,Kıyafet Dışı,Outfit yttre
OutfitOuterOutline,Outfit Outer Outline,Outfit Outer Outline,服装 外侧 轮廓,服裝 外側 輪廓,Outfit außen Umriss,Contorno del traje exterior,Contour Tenue Extérieure,Outfit külső körvonala,服 外側 輪郭,겉옷 외곽선,Верхняя одежда Контур,Contorno da Roupa Exterior,Зовнішній контур спорядження,Contorno esterno del vestito,เส้นร่างชุดด้านนอก,Kıyafet Dışı Anahat,Outfit Outer Outline
Pencil,Pencil,Pencil,铅笔,鉛筆,Bleistift,Lápiz,Crayon,Ceruza,鉛筆,연필,Карандаш,Lápis,Олівець,Matita,ดินสอ,Kalem,Penna
Phone,Phone,Phone,手机,手機,Telefon,Teléfono,Téléphone,Telefon,スマホ,핸드폰,Телефон,Telefone,Телефон,Telefono,โทรศัพท์มือถือ,Telefon,Telefon
PhoneLight,Phone Light,Phone Light,手机 屏幕光,手機 螢幕光,Telefon Licht,Luz del teléfono,Lumière du Téléphone,Telefonfény,スマホライト,핸트폰 불빛,Телефон Свет,Luz do Telefone,Світло телефону,Luce del telefono,แสงโทรศัพท์มือถือ,Telefon Işığı,Telefonljus
PigtailLeft,Hair Pigtail >>,Hair Pigtail >>,头发 马尾 >>,頭髮 馬尾 >>,Haarzopf >>,Coleta de pelo >>,Queue de cochon >>,Haj Pigtail >>,おさげ >>,양갈래 머리 >>,Волосы Хвостик >>,Rabo de Cavalo >>,Косичка для волосся >>,Codino per capelli >>,มัดผม >>,Saç Topuzu >>,Hår Pigtail >>
PigtailLeftOutline,Hair Pigtail >> Outline,Hair Pigtail >> Outline,头发 马尾 >> 轮廓,頭髮 馬尾 >> 輪廓,Haarzopf >> Umriss,Coleta de pelo >> Contorno,Contour Couettes >>,Haj Pigtail >> Vázlat,おさげ 輪郭 >>,양갈래 머리 >> 외곽선,Волосы Хвостик>> Контур,Rabo de Cavalo >> Contorno,Косичка для волосся >> Контур,Codino di capelli >> Contorno,เส้นร่างมัดผม >>,Saç Topuzu >> Anahat,Hår Pigtail >> Kontur
PigtailRight,Hair Pigtail <<,Hair Pigtail <<,头发 马尾 <<,頭髮 馬尾 <<,Haarzopf <<,Coleta de pelo <<,Couettes <<,Haj Pigtail <<,おさげ <<,양갈래 머리 <<,Волосы Хвостик <<,Rabo de Cavalo << ,Косичка для волосся <<,Codino per capelli <<,มัดผม <<,Saç Topuzu <<,Hår Pigtail <<
PigtailRightOutline,Hair Pigtail << Outline,Hair Pigtail << Outline,头发 马尾 << 轮廓,頭髮 馬尾 << 輪廓,Haarzopf << Umriss,Coleta de pelo << Contorno,Contour Couettes <<,Haj Pigtail << Vázlat,おさげ 輪郭 <<,양갈래 머리 << 외곽선,Волосы Хвостик<< Контур,Rabo de Cavalo << Contorno,Косичка для волосся << Контур,Codino per capelli << Contorno,เส้นร่างมัดผม <<,Saç Topuzu << Anahat,Hår Pigtail << Kontur
Rose,Rose,Rose,玫瑰,玫瑰,Rose,Rosa,Rose,Rózsa,バラ,장미,Роза,Rosa,Роза,Rosa,ดอกกุหลาบ,Gül,Ros
RoundSign,Round Sign,Round Sign,圆形标牌,圓形標牌,Rundes Schild,Señal redonda,Panneau Rond,Kerek Jel,採点棒,원형 팻말,Круглый знак,Sinal Redondo,Круглий знак,Segno rotondo,ป้ายกลม,Yuvarlak İşaret,Runda tecken
RoundSignText,Round Sign Text,Round Sign Text,圆形标牌 文字,圓形標牌 文字,Rundes Schild Text,Texto de la señal redonda,Texte Panneau Rond,Kerek jel szöveg,採点棒の文字,원형 팻말 텍스트,Круглый знак Текст,Sinal Redondo com Texto,круглий знак текст,Testo del segno rotondo,ข้อความบนป้ายกลม,Yuvarlak İşaret Metni,Runda tecken Text
SideHair,Hair Side,Hair Side,头发 侧面,頭髮 側面,Haare Seite,Cabello de los lados trasero,Cheveux Côtés,Hajoldal,横髪,옆머리(전체),Боковые волосы,Cabelo Lateral,Сторона волосся,Lato dei capelli,ผมด้านข้าง,Saçın Yanı,Hårsida
SideHairOutline,Hair Side Outline,Hair Side Outline,头发 侧面 轮廓,頭髮 側面 輪廓,Haare Seite Umriss,Contorno del cabello de los lados trasero,Contour Cheveux Côtés,Haj oldalsó körvonal,横髪 輪郭,옆머리(전체) 외곽선,Боковые волосы Контур,Contorno do Cabelo Lateral,Контур волосся збоку,Contorno laterale dei capelli,เส้นร่างผมด้านข้าง,Saçın Yanı Anahat,Hår sidokontur
Skin,Skin,Skin,肤色,膚色,Haut,Piel,Peau,Bőr,肌,피부,Кожа,Pele,Шкіра,Pelle,ผิว,Deri,Hud
SkinOutline,Skin Outline,Skin Outline,肤色 轮廓,膚色 輪廓,Hautumriss,Contorno de la piel,Contour Peau,Bőr körvonala,肌 輪郭,피부 외곽선,Кожа Контур,Contorno da Pele,Контур шкіри,Contorno della pelle,เส้นร่างผิว,Deri Anahat,Hudkontur
SquareSign,Square Sign,Square Sign,方形标牌,方形標牌,Quadratisches Schild,Señal cuadrada,Panneau Carré,négyzet alakú jel,手持ち看板,사각형 팻말,Квадратный знак,Sinal Quadrado,Квадратний знак,Segno quadrato,ป้ายสี่เหลี่ยม,Kare İşaret,Fyrkantigt tecken
SquareSignText,Square Sign Text,Square Sign Text,方形标牌 文字,方形標牌 文字,Quadratisches Schild Text,Texto de la señal cuadrada,Texte Panneau Carré,Négyzet alakú jel szöveg,手持ち看板の文字,사각형 팻말 텍스트,Квадратный знак Текст,Texto do Sinal Quadrado,Текст квадратного знака,Testo del segno quadrato,ข้อความป้ายสี่เหลี่ยม,Kare İşaret Metni,Fyrkantig teckentext
SteeringWheel,Steering Wheel,Steering Wheel,方向盘,方向盤,Lenkrad,Volante,Volant,Kormánykerék,ハンドル,운전대,Руль,Volante,Кермо,Volante,พวงมาลัย,Direksiyon,Ratt
GasBottle,Gas Bottle,Gas Bottle,压缩气瓶,壓縮氣瓶,Gasflasche,Tanque de Copium,Bouteille de Gaz,Gázpalack,ガスボンベ,가스통,Газовый баллон,Garrafa de Gás,газовий балон,Bombola del gas,ถังแก๊ส,Gaz Şişesi,Gasflaska
Sticker_Front/PatHand,Pat Hand,Pat Hand,摸头手,摸頭手,Streichelhand,Mano de la palmadita,Main Pat,Pat Hand,なで手,쓰다듬는 손,Гладящая рука,Carinho Mão,Пет Хенд,Pat Mano,มือลูบหัว,Okşayan El,Pat Hand
StickerAlert,Sticker Alert,Sticker Alert,表情贴纸 通知/提示,表情貼紙 通知/提示,Aufkleber Alert,Color de la alerta,"Alerte (Coeur, Pouce etc...)",Matrica figyelmeztetés,アラートステッカー,경고 스티커,Стикер Оповещение,Alerta de Figurinha,Сповіщення про наклейку,Avviso adesivo,สติกเกอร์ Alert,Bildirim Sembolü,Klistermärke Alert
StickerAlertEffect,Sticker Alert Effect,Sticker Alert Effect,表情贴纸 通知/提示 特效,表情貼紙 通知/提示 特效,Aufkleber Alert Effekt,Efecto de la alerta,"Effet Alerte (Coeur, Pouce etc...)",Matrica figyelmeztető hatás,アラートエフェクト,경고 스티커 효과,Стикер Уведомление Эффект,Efeito de Alerta de Figurinha,Ефект сповіщення про наклейку,Effetto avviso adesivo,สติกเกอร์ Alert Effect,Bildirim Çizgileri,Klistermärke Alert Effekt
StickerAlertOutline,Sticker Alert Outline,Sticker Alert Outline,表情贴纸 通知/提示 轮廓,表情貼紙 通知/提示 輪廓,Aufkleber Alert Umriss,Contorno de la alerta,"Contour Alerte (Coeur, Pouce etc...)",Matrica figyelmeztetés vázlata,アラート 輪郭,경고 스티커 외곽선,Стикер Уведомление Контур,Contorno do Alerta de Figurinha,Схема попередження про наклейку,Contorno avviso adesivo,สติกเกอร์ Alert Outline,Bildirim Sembolü Anahat,Klistermärke Alert Kontur
StickerAngry,Sticker Angry,Sticker Angry,表情贴纸 生气,表情貼紙 生氣,Aufkleber Wütend,Efecto enojado,Colère,Dühös matrica,怒りステッカー,화남 스티커,Стикер Злой,Figurinha Raiva,Наклейка Angry,Adesivo Arrabbiato,สติกเกอร์โกรธ,İşaret Sinirli,Väggdekor Arg
StickerExclamationMark,Sticker Exclamation Mark,Sticker Exclamation Mark,表情贴纸 感叹号,表情貼紙 驚嘆號,Aufkleber Ausrufezeichen,Signo de exclamación,Point d'Exclamation,Matrica felkiáltójel,びっくりマークステッカー,느낌표 스티커,Стикер Восклицательный знак,Figurinha Ponto de Exclamação,Наклейка знак оклику,Punto esclamativo adesivo,สติกเกอร์เครื่องหมายอัศเจรีย์,İşaret Ünlem,Klistermärke Utropstecken
StickerGhost,Sticker Ghost,Sticker Ghost,表情贴纸 幽灵,表情貼紙 幽靈,Aufkleber Geist,Efecto Fantasma,Fantôme,Matrica Ghost,おばけステッカー,유령 스티커,Стикер Призрак,Figurinha Fantasma,Наклейка Привид,Adesivo fantasma,สติกเกอร์วิญญาณ,İşaret Hayalet,Väggdekor Spöke
StickerHeart,Sticker Heart,Sticker Heart,表情贴纸 爱心,表情貼紙 愛心,Aufkleber Herz,Efecto Corazón,Coeur,Matrica szív,ハートステッカー,하트 스티커,Стикер Сердце,Figurinha Coração,Наклейка Серце,Adesivo Cuore,สติกเกอร์หัวใจ,İşaret Kalp,Väggdekor Hjärta
StickerLaugh,Sticker Laugh,Sticker Laugh,表情贴纸 笑,表情貼紙 笑,Aufkleber Lachen,Efecto Risa,Rire,Nevetés matrica,笑いステッカー,웃음 스티커,Стикер Смех,Figurinha Rindo,Наклейка Сміх,Adesivo Ridere,สติกเกอร์หัวเราะ,İşaret Gülmek,Väggdekor Skratt
StickerQuestionMark,Sticker Question Mark,Sticker Question Mark,表情贴纸 问号,表情貼紙 問號,Aufkleber Fragezeichen,Signo de interrogación,Point d'Interrogation,Matrica kérdőjel,はてなステッカー,물음표 스티커,Стикер Вопросительный знак,Figurinha Ponto de Interrogação,Наклейка знак питання,Punto interrogativo adesivo,สติกเกอร์เครื่องหมายคำถาม,İşaret Soru,Klistermärke frågetecken
StickerSleep,Sticker Sleep,Sticker Sleep,表情贴纸 睡觉,表情貼紙 睡覺,Aufkleber Schlaf,Efecto Dormir,Sommeil,Alvó matrica,寝るステッカー,수면 스티커,Стикер Сон,Figurinha Dormindo,Наклейка Сон,Adesivo Sonno,สติกเกอร์นอน,İşaret Uyku,Väggdekor Sömn
StickerStar,Sticker Star,Sticker Star,表情贴纸 星星,表情貼紙 星星,Aufkleber Stern,Efecto Estrella,Étoile,Matrica csillag,星ステッカー,별 스티커,Стикер Звезда,Figurinha Estrela,Наклейка зірка,Stella adesiva,สติกเกอร์ดาว,İşaret Yıldız,Klistermärke Stjärna
StickerSteam,Sticker Steam,Sticker Steam,表情贴纸 气,表情貼紙 氣,Aufkleber Dampf,Efecto Vapor,Vapeur,Steam matrica,湯気ステッカー,콧김 스티커,Стикер Пар,Figurinha Vapor,Наклейка Steam,Adesivo vapore,สติกเกอร์ไอน้ำ,İşaret Buhar,Klistermärke Steam
StickerSurprise,Sticker Surprise,Sticker Surprise,表情贴纸 惊吓,表情貼紙 驚嚇,Aufkleber Überraschung,Efecto Sorpresa,Surprise,Matrica Meglepetés,びっくりステッカー,깜짝 스티커,Стикер Сюрприз,Figurinha Surpreso,Наклейка Сюрприз,Adesivo Sorpresa,สติกเกอร์เซอร์ไพรส์,İşaret Sürpriz,Väggdekor Överraskning
StickerSweat,Sticker Sweat,Sticker Sweat,表情贴纸 汗,表情貼紙 汗,Aufkleber Schweiß,Gota de Sudor,Sueur,Matrica verejték,汗ステッカー,땀방울 스티커,Стикер Пот,Figurinha Soando,Наклейка Піт,Adesivo Sudore,สติกเกอร์เหงื่อตก,İşaret Ter,Väggdekor Svett
StickerSweatLarge,Sticker Sweat (Large),Sticker Sweat (Large),表情贴纸 汗（大）,表情貼紙 汗（大）,Aufkleber Schweiß (Groß),Gota de Sudor (Grande),Sueur (Grande),Izzadt matrica (nagy),汗ステッカー（大）,땀방울 스티커(대),Стикер Пот (Большой),Figurinha Soando (Grande),Наклейка Піт (велика),Adesivo Sudore (grande),สติกเกอร์เหงื่อตก (ใหญ่),İşaret Ter (Büyük),Klistermärke Sweat (Large)
StickerVolume,Sticker Volume,Sticker Volume,表情贴纸 音量,表情貼紙 音量,Aufkleber Lautstärke,Efecto de Volumen,Volume,Matrica kötet,音量ステッカー,음량 스티커,Стикер Громкость,Figurinha Volume,Обсяг наклейки,Volume dell'autoadesivo,สติกเกอร์ ระดับเสียง,İşaret Ses,Dekalvolym
StickyNote,Sticky Note,Sticky Note,表情贴纸 便签,表情貼紙 便利貼,Haftnotiz,Nota adhesiva,Post-it,Sticky Note,ふせん,메모 스티커,Стикер для заметок,Nota Adesiva,Наліпка,Nota adesiva,Sticky Note,Yapışkan Not,Sticky Note
StickyNoteText,Sticky Note Text,Sticky Note Text,表情贴纸 便签 文字,表情貼紙 便利貼 文字,Haftnotiz Text,Texto de nota adhesiva,Texte Post-it,Sticky Note szöveg,ふせんの文字,메모 스티커 텍스트,Стикер заметок Текст,Texto da Nota Adesiva,Текст липкої нотатки,Testo di una nota adesiva,ข้อความบน Sticky Note,Yapışkan Not Metni,Sticky Note Text
Tear,Eye Tear,Eye Tear,眼睛 眼泪,眼睛 眼淚,Augentränen,Lágrima del ojo,Larmes,Eye Tear,涙,눈물,Глаз слеза,Lágrima do Olho,Сльоза очей,Lacrima degli occhi,น้ำตา,Göz Yaşı,Ögatår
Utensil,Utensil,Utensil,餐具,餐具,Besteck,Utensilio,Ustensile,Konyhaedény,食器,식기,Столовые приборы,Utensílio,Посуд,Utensile,ช้อนส้อม,Çatal Bıçak,Redskap
OutfitCollarString,Outfit Collar String,Outfit Collar String,服装 领子 抽绳,服裝 領子 抽繩,Outfit Kragenschnur,Cordón del cuello del Outfit,Tenue Lacets Hoodie,Outfit nyakörv,襟ひも,옷깃 끈,Воротник Шнурок,Corda da Roupa,Спорядження Комір рядок,Corda per colletto dell'outfit,เชือกเสื้อฮู้ด,Kıyafet Yaka İpi,Outfit krage String
Bell,Bell,Bell,铃铛,鈴鐺,Glocke,Campana,Cloche,Harang,ベル,종,Колокольчик,Sino,дзвоник,Campana,กระดิ่ง,Zil,Klocka
Confetti1,Confetti 1,Confetti 1,彩纸 1,彩色紙屑 1,Konfetti 1,Confeti 1,Confetti 1,Konfetti 1,紙吹雪1,컨페티 1,Конфетти 1,Confete 1,Конфетті 1,Coriandoli 1,คอนเฟตตี้ 1,Konfeti 1,Konfetti 1
Confetti2,Confetti 2,Confetti 2,彩纸 2,彩色紙屑 2,Konfetti 2,Confeti 2,Confetti 2,Konfetti 2,紙吹雪2,컨페티 2,Конфетти 2,Confete 2,Конфетті 2,Coriandoli 2,คอนเฟตตี้ 2,Konfeti 2,Konfetti 2
Confetti3,Confetti 3,Confetti 3,彩纸 3,彩色紙屑 3,Konfetti 3,Confeti 3,Confetti 3,Konfetti 3,紙吹雪3,컨페티 3,Конфетти 3,Confete 3,Конфетті 3,Coriandoli 3,คอนเฟตตี้ 3,Konfeti 3,Konfetti 3
Microphone,Microphone,Microphone,麦克风,麥克風,Mikrofon,Micrófono,Micro,Mikrofon,マイクロフォン,마이크,Микрофон,Microfone,мікрофон,Microfono,ไมโครโฟน,Mikrofon,Mikrofon
Gleam,Gleam,Gleam,光晕,光暈,Glänzen,Destello,Lumière Lunettes de Soleil,Csillog,光る,번득임,Отблеск,Brilho,блиск,Brillare,แวววาว,Video Kamera Işığı,Glimt
VideoCamera,Video Camera,Video Camera,摄像机,攝影機,Videokamera,Cámara de video,Caméra,Videokamera,ビデオカメラ,비디오 카메라,Видеокамера,Câmera de Vídeo,Відеокамера,Videocamera,กล้องวิดีโอ,Video kamera,Videokamera
PointHand,Point Hand,Point Hand,指人手,指人手,Mit Hand Zeigen,Punto de la mano,Pointer de la main,Pontos kéz,ポイントハンド,가르키는 손,Указывающая рука,Mão Apontando,Вказати руку,Puntare la mano,มือชี้,İşaret Eden El,Peka Hand
Bowl,Bowl,Bowl,碗,碗,Schüssel,Bol,Bol,Tál,ボウル,그릇,Чаша,Tigela,Чаша,Ciotola,ชาม,Kâse,Skål
Cake,Cake,Cake,蛋糕,蛋糕,Kuchen,Pastel,Gâteau,Torta,ケーキ,케이크,Торт,Bolo,Торт,Torta,เค้ก,Kek,Tårta
CandleFire,Candle Fire,Candle Fire,蜡烛 火焰,蠟燭 火焰,Kerzenfeuer,fuego de vela,Feu de Bougie,Gyertya tűz,キャンドルファイア,촛불,Горящая свеча,Fogo da Vela,Вогонь свічки,Fuoco di candela,เปลวเทียน,Mum Ateşi,Ljus eld
DrawingTablet,Drawing Tablet,Drawing Tablet,画板,繪圖板,Zeichentablett,tableta de dibujo,Tablette Graphique,Rajz tábla,お絵描きタブレット,드로잉 타블렛,Планшет для рисования,Tablete de Desenho,Планшет для малювання,Tavoletta da disegno,แท็บเล็ตวาดรูป,Çizim Tableti,Ritplatta
LoveLetter,Love Letter,Love Letter,情书,情書,Liebesbrief,carta de amor,Lettre d'Amour,Szerelmeslevél,ラブレター,연애 편지,Любовное письмо,Carta de Amor,Любовний лист,Lettera d'amore,จดหมายรัก,Aşk Mektubu,Kärleksbrev
Popper,Popper,Popper,彩纸筒,拉炮,Konfettikanone,Corchete,Bouton,Popper,ポッパー,파티 폭죽,Поппер,Popper,Поппер,Popper,ป็อปเปอร์,Konfeti Patlatıcı,Popper
Stylus,Stylus,Stylus,手写笔,手寫筆,Stift,Aguja,Stylet,Stylus,スタイラス,타블렛 펜,Стилус,Caneta,Стилус,Stilo,ปากกาสไตลัส,Çizim Tableti Kalemi,Nål
Tablet,Tablet,Tablet,画板,繪圖板,Tablet,Tableta,Tablette,Tabletta,錠剤,타블렛,Графический планшет,Tablet,планшет,Tavoletta,แท็บเล็ต,Tablet,Tablett
MusicalNote1,Musical Note 1,Musical Note 1,音乐 音符 1,音樂 音符 1,Musiknote 1,Nota musical 1,Note de Musique 1,Hangjegy 1,音符1,음표 1,Музыкальная нота 1,Nota Musical 1,Музична нота 1,Nota musicale 1,โน้ตดนตรี 1,Müzik Notası 1,Musiknot 1
MusicalNote2,Musical Note 2,Musical Note 2,音乐 音符 2,音樂 音符 2,Musiknote 2,Nota musical 2,Note de Musique 2,Hangjegy 2,音符2,음표 2,Музыкальная нота 2,Nota Musical 2,Музична нота 2,Nota musicale 2,โน้ตดนตรี 2,Müzik Notası 2,Musiknot 2
PhoneScreen,Phone Screen,Phone Screen,手机 屏幕,手機 螢幕,Telefonbildschirm,Pantalla del teléfono,Écran de Téléphone,Telefon képernyő,電話画面,핸드폰 화면,Экран телефона,Tela do Celular,Екран телефону,Schermo del telefono,หน้าจอโทรศัพท์ ,Telefon Ekranı,Telefonskärm
Tail,Tail,Tail,尾巴,尾巴,Schwanz,Cola,Queue,Farok,しっぽ,꼬리,Хвост,Rabo,хвіст,Coda,หาง,Kuyruk,Svans
TailOutline,Tail Outline,Tail Outline,尾巴 轮廓,尾巴 輪廓,Schwanz Umriss,Contorno de la cola,Contour Queue,Farok körvonala,尾部の輪郭,꼬리 외곽선,Хвост Контур,Contorno do Rabo,Контур хвоста,Contorno della coda,เส้นร่างหาง,Kuyruk Anahat,Svanskontur
WingLeft,Wing >>,Wing >>,翅膀 >>,翅膀 >>,Flügel >>,Ala >>,Aile >>,Szárny >>,ウィング >>,날개 >>,Крылья >>,Asa >>,Крило >>,Ala >>,ปีก >>,Kanatlar >>,Vinge >>
WingLeftOutline,Wing >> Outline,Wing >> Outline,翅膀 >> 轮廓,翅膀 >> 輪廓,Flügel >> Umriss,Ala >> Contorno,Contour Aile >>,Szárny >> Vázlat,ウイング >> 概要,날개 >> 외곽선,Крылья >> Контур,Asa >> Contorno,Крило >> Контур,Ala >> Contorno,เส้นร่างปีก >>,Kanatlar >> Anahat,Ving >> Kontur
WingRight,Wing <<,Wing <<,翅膀 <<,翅膀 <<,Flügel <<,Ala <<,Aile <<,Szárny <<,ウィング <<,날개 <<,Крылья <<,Asa <<,Крило <<,Ala <<,ปีก <<,Kanatlar <<,Vinge <<
WingRightOutline,Wing << Outline,Wing << Outline,翅膀 << 轮廓,翅膀 << 輪廓,Flügel << Umriss,Ala << Contorno,Contour Aile <<,Szárny << Vázlat,ウイング << 概要,날개 << 외곽선,Крылья << Контур,Asa << Contorno,Крило << Контур,Ala <<Contorno,เส้นร่างปีก <<,Kanatlar << Anahat,Ving << Kontur
Cape,Cape,Cape,斗篷,鬥篷,Kap,Cabo,Cape,Köpeny,ケープ,곶,Мыс,Cabo,мис,Capo,เคป,Pelerin,Cape
CapeOutline,Cape Outline,Cape Outline,斗篷 轮廓,鬥篷 輪廓,Umriss des Kaps,Esquema del cabo,Contour Cape,Cape körvonala,岬の輪郭,케이프 아웃라인,Контур мыса,Contorno do Cabo,Контур мису,Profilo del Capo,โครงร่างเคป,Pelerin Anahat,Cape Outline
Cheek,Cheek,Cheek,脸颊,臉頰,Wange,Mejilla,Joues,Pofa,頬,볼,Щека,Bochecha,щока,Guancia,แก้ม,Yanak,Kind
Cockroach,Cockroach,Cockroach,蟑螂,蟑螂,Kakerlake,Cucaracha,Cafard,Csótány,ゴキブリ,바퀴벌레,Таракан,Barata,Тарган,Scarafaggio,แมลงสาบ,Hamamböceği,Kackerlacka
Controller,Controller,Controller,手柄,手柄,Regler,Controlador,Manette,Vezérlő,コントローラ,제어 장치,Контроллер,Controlador,Контролер,Controllore,คอนโทรลเลอร์,Controller,Kontroller
Donut,Donut,Donut,甜甜圈,甜甜圈,Krapfen,Rosquilla,Donut,Fánk,ドーナツ,도넛,Пончик,Rosquinha,Пончик,Ciambella,โดนัท,Çörek,Donut
EarringLeft,Earring >>,Earring >>,耳环 >>,耳環 >>,Ohrring >>,Pendiente >>,Boucle d'Oreille >>,Fülbevaló >>,イヤリング >>,귀걸이 >>,Серьги >>,Brinco >>,Сережка >>,Orecchino >>,ต่างหู >>,Küpe >>,Örhänge >>
EarringRight,Earring <<,Earring <<,耳环 <<,耳環 <<,Ohrring <<,Pendiente <<,Boucle d'Oreille <<,Fülbevaló <<,イヤリング <<,귀걸이 <<,Серьга <<,Brinco <<,Сережка <<,Orecchino <<,ต่างหู <<,Küpe <<,Örhänge <<
EarringOutlineLeft,Earring >> Outline,Earring >> Outline,耳环 >> 轮廓,耳環 >> 輪廓,Ohrring >> Umriss,Pendiente >> Contorno,Contour Boucle d'Oreille >>,Fülbevaló >> Vázlat,イヤリング >> 概要,귀걸이 >> 개요,Серьга >> Схема,Brinco >> Contorno,Сережка >> Контур,Orecchino >> Contorno,ต่างหู >> โครงร่าง,Küpe >> Anahat,Örhänge >> Kontur
EarringOutlineRight,Earring << Outline,Earring << Outline,耳环 << 轮廓,耳環 << 輪廓,Ohrring << Umriss,Pendiente << Contorno,Contour Boucle d'Oreille <<,Fülbevaló << Vázlat,イヤリング << 概要,귀걸이 << 개요,Серьга << Контур,Brinco << Contorno,Сережка << Контур,Orecchino << Contorno,ต่างหู << โครงร่าง,Küpe << Anahat,Örhänge << Outline
FaceFeatureALeft,Face Feature A >>,Face Feature A >>,脸部特征 A >>,臉部特徵 A >>,Gesichtsmerkmal A >>,Característica de la cara A >>,Caractéristique Faciale A >>,Arcvonás A >>,顔の特徴A >>,얼굴 특징 A >>,Черта лица А >>,Característica facial A >>,Риса обличчя А >>,Caratteristica del viso A >>,ลักษณะใบหน้า A >>,Yüz Özelliği A >>,Ansiktsfunktion A >>
FaceFeatureARight,Face Feature A <<,Face Feature A <<,脸部特征 A <<,臉部特徵 A <<,Gesichtsmerkmal A <<,Característica de la cara A <<,Caractéristique Faciale A <<,Arcvonás A <<,顔の特徴 A <<,얼굴 특징 A <<,Черта лица A <<,Característica facial A <<,Риса обличчя A <<,Caratteristica del viso A <<,ลักษณะใบหน้า A <<,Yüz Özelliği A <<,Ansiktsfunktion A <<
FaceFeatureBLeft,Face Feature B >>,Face Feature B >>,脸部特征 B >>,臉部特徵 B >>,Gesichtsmerkmal B >>,Característica de la cara B >>,Caractéristique Faciale B >>,B arcvonás >>,顔の特徴B >>,얼굴 특징 B >>,Черта лица B >>,Característica facial B >>,Риса обличчя B >>,Caratteristica del viso B >>,ลักษณะใบหน้า B >>,Yüz Özelliği B >>,Ansiktsfunktion B >>
FaceFeatureBRight,Face Feature B <<,Face Feature B <<,脸部特征 B <<,臉部特徵 B <<,Gesichtsmerkmal B <<,Característica de la cara B <<,Caractéristique Faciale B <<,B arcvonás <<,顔の特徴 B <<,얼굴 특징 B <<,Характеристика лица B <<,Característica facial B <<,Риса обличчя B <<,Caratteristica del viso B <<,ลักษณะใบหน้า B <<,Yüz Özelliği B <<,Ansiktsfunktion B <<
FaceFeatureC,Face Feature C,Face Feature C,脸部特征 C,臉部特徵 C,Gesichtsmerkmal C,Característica de la cara C,Caractéristique Faciale C,Arcvonás C,顔の特徴 C,얼굴 특징 C,Характеристика лица C,Característica facial C,Особливість обличчя C,Caratteristica del viso C,ลักษณะใบหน้า C,Yüz Özelliği C,Ansiktsfunktion C
FacialHairA,Facial Hair A,Facial Hair A,胡子 A,鬍子 A,Gesichtsbehaarung A,Vello facial A,Barbe,Arcszőrzet A,ひげA,얼굴 털 A,Волосы на лице А,Pêlos faciais A,Волосся на обличчі А,Peli sul viso A,ขนบนใบหน้า A,Sakal A,Ansiktshår A
FacialHairAOutline,Facial Hair A Outline,Facial Hair A Outline,胡子 A 轮廓,鬍子 A 輪廓,Gesichtsbehaarung Ein Umriss,Vello facial un esquema,Contour Barbe,Arcszőrzet Vázlat,顔の毛Aの概要,얼굴 털 A 개요,Волосы на лице: контур,"Pêlos faciais, um contorno",Контур волосся на обличчі,Peli facciali Un contorno,ขนบนใบหน้าโครงร่าง,Sakal A Anahat,Ansiktshår En disposition
